event_type,total_matches,n_pair_session_cells,abs_mean_move_pips,persistence_24h_avg_pct,trap_rate_pct,direction_concordance_pct,fundamental_hit_rate_pct
us_gdp,12,10,34.757256507873535,72.70833333333334,50.0,100.0,90.0
ca_unemp,28,14,53.09530865578424,66.20370370370371,20.23809523809524,90.47619047619048,3.571428571428572
us_core_pce,17,11,51.07897520065308,64.46969696969697,36.36363636363637,86.36363636363636,22.727272727272727
us_pce,17,11,51.07897520065308,64.46969696969697,36.36363636363637,86.36363636363636,22.727272727272727
cb_rate_decision,171,52,55.91714248406872,55.88128306878306,26.042429792429797,75.50976800976801,
au_unemp,13,6,48.60290222697788,44.7337962962963,12.5,94.44444444444444,12.5
cb_press_conference,56,16,41.36754553942453,44.71478174603175,26.428571428571427,85.38690476190476,
us_nfp,16,9,66.55216349495782,43.695286195286194,33.333333333333336,90.74074074074072,40.74074074074073
us_unrate,15,9,68.42441161473592,43.695286195286194,33.333333333333336,90.74074074074072,9.25925925925926
us_ppi,15,11,45.819226178255946,30.530303030303035,4.545454545454546,95.45454545454544,22.727272727272727
us_cpi,12,11,45.01992789181796,29.96212121212121,4.545454545454546,100.0,36.36363636363637
us_core_cpi,12,11,45.01992789181796,29.96212121212121,4.545454545454546,100.0,36.36363636363637
cot_extreme_short,19,16,64.01255652308464,26.282051282051285,6.25,93.75,
