time,sym,dir,conf,month,forced,win_yahoo,win_histdata
2025-07-10 18:00:00+00:00,AUDJPY,-1,0.18670084861662745,2025-07,False,False,True
2025-07-10 19:00:00+00:00,AUDJPY,-1,0.17664846012371643,2025-07,False,False,False
2025-07-10 20:00:00+00:00,GBPNZD,1,0.21570733193848024,2025-07,False,True,False
2025-07-11 01:00:00+00:00,AUDCHF,-1,0.13349325391826516,2025-07,False,True,True
2025-07-11 18:00:00+00:00,CADJPY,-1,0.18748629364613023,2025-07,False,True,True
2025-07-11 20:00:00+00:00,GBPNZD,1,0.1910101188874186,2025-07,False,True,
2025-07-14 06:00:00+00:00,GBPCAD,1,0.1379495048722692,2025-07,False,True,True
2025-07-14 08:00:00+00:00,GBPCAD,1,0.12720505437355967,2025-07,False,False,False
2025-07-14 09:00:00+00:00,GBPCAD,1,0.14548111687345988,2025-07,False,True,True
2025-07-15 18:00:00+00:00,EURNZD,-1,0.15305874783486634,2025-07,False,True,True
2025-07-15 19:00:00+00:00,EURNZD,-1,0.1279241965889143,2025-07,False,True,True
2025-07-15 20:00:00+00:00,GBPNZD,1,0.1932473421503269,2025-07,False,False,False
2025-07-16 11:00:00+00:00,USDJPY,-1,0.15045213723628553,2025-07,False,True,True
2025-07-16 18:00:00+00:00,AUDCHF,-1,0.1318957107349763,2025-07,False,True,True
2025-07-16 20:00:00+00:00,AUDCHF,1,0.18010079867283257,2025-07,False,True,True
2025-07-17 18:00:00+00:00,AUDCHF,-1,0.1644032364492744,2025-07,False,True,True
2025-07-17 20:00:00+00:00,GBPAUD,1,0.154843728157963,2025-07,False,True,True
2025-07-17 21:00:00+00:00,AUDCHF,1,0.2093058750327248,2025-07,False,True,True
2025-07-18 18:00:00+00:00,CADJPY,-1,0.1918298497291876,2025-07,False,False,False
2025-07-18 19:00:00+00:00,EURGBP,-1,0.13710725949059993,2025-07,False,False,
2025-07-18 20:00:00+00:00,GBPCAD,1,0.22700364928122174,2025-07,False,True,
2025-07-21 20:00:00+00:00,EURAUD,1,0.16448640705415385,2025-07,False,True,True
2025-07-21 21:00:00+00:00,NZDCAD,1,0.1429636039867922,2025-07,False,False,False
2025-07-21 23:00:00+00:00,GBPCAD,1,0.10571032711317241,2025-07,True,True,True
2025-07-22 18:00:00+00:00,NZDUSD,-1,0.16122320383320027,2025-07,False,True,True
2025-07-22 19:00:00+00:00,NZDUSD,-1,0.15775900216831762,2025-07,False,True,True
2025-07-22 20:00:00+00:00,GBPCAD,1,0.23826476669500263,2025-07,False,True,False
2025-07-23 18:00:00+00:00,AUDNZD,-1,0.18351355938202624,2025-07,False,True,True
2025-07-23 19:00:00+00:00,AUDJPY,-1,0.14806007398489884,2025-07,False,True,True
2025-07-23 20:00:00+00:00,EURGBP,1,0.14942857516266295,2025-07,False,True,True
