t,sym,dir,raw,score,fwr,why,win,month
2025-07-04 00:00:00+00:00,EURUSD,BUY,1.1,1.4586956521739134,0.8260869565217391,импульс вверх,True,2025-07
2025-07-04 05:00:00+00:00,USDCHF,BUY,1.6,1.6275862068965516,0.5172413793103449,низ диапазона+RSI низкий,True,2025-07
2025-07-04 10:00:00+00:00,EURJPY,BUY,1.2000000000000002,1.2923076923076924,0.5769230769230769,RSI низкий,True,2025-07
2025-07-07 10:00:00+00:00,EURUSD,BUY,2.9,3.866666666666667,0.8333333333333334,низ диапазона+RSI низкий,True,2025-07
2025-07-07 15:00:00+00:00,EURUSD,BUY,1.7000000000000002,2.278,0.84,RSI низкий,False,2025-07
2025-07-08 00:00:00+00:00,EURUSD,BUY,1.1,1.4384615384615387,0.8076923076923077,импульс вверх,False,2025-07
2025-07-09 10:00:00+00:00,EURJPY,BUY,1.6,1.7481481481481482,0.5925925925925926,низ диапазона,False,2025-07
2025-07-09 15:00:00+00:00,EURJPY,BUY,1.2000000000000002,1.2857142857142858,0.5714285714285714,RSI низкий,False,2025-07
2025-07-09 20:00:00+00:00,EURJPY,BUY,2.4,2.5241379310344825,0.5517241379310345,низ диапазона+RSI низкий,False,2025-07
2025-07-10 00:00:00+00:00,EURJPY,BUY,2.4,2.4799999999999995,0.5333333333333333,низ диапазона+RSI низкий,True,2025-07
2025-07-10 05:00:00+00:00,USDCHF,BUY,1.1,1.1323529411764706,0.5294117647058824,RSI низкий+импульс вверх,True,2025-07
2025-07-10 15:00:00+00:00,EURJPY,BUY,1.6,1.6774193548387097,0.5483870967741935,низ диапазона,False,2025-07
2025-07-11 00:00:00+00:00,EURUSD,BUY,2.1,2.683333333333333,0.7777777777777778,низ диапазона+RSI низкий,True,2025-07
2025-07-11 05:00:00+00:00,EURUSD,BUY,1.2999999999999998,1.671428571428571,0.7857142857142857,низ диапазона,True,2025-07
2025-07-11 20:00:00+00:00,EURJPY,SELL,1.5,1.5681818181818181,0.5454545454545454,верх диапазона+RSI высокий,True,2025-07
2025-07-14 05:00:00+00:00,EURUSD,BUY,2.1,2.7155172413793105,0.7931034482758621,низ диапазона+RSI низкий,True,2025-07
2025-07-14 20:00:00+00:00,EURUSD,BUY,1.2999999999999998,1.6899999999999997,0.8,низ диапазона,True,2025-07
2025-07-15 15:00:00+00:00,EURUSD,BUY,2.1,2.7435483870967743,0.8064516129032258,низ диапазона+RSI низкий,False,2025-07
2025-07-15 20:00:00+00:00,EURUSD,BUY,2.1,2.6906250000000003,0.78125,низ диапазона+RSI низкий,True,2025-07
2025-07-16 00:00:00+00:00,EURUSD,BUY,2.1,2.7045454545454546,0.7878787878787878,низ диапазона+RSI низкий,True,2025-07
