t,hour,dow,sym,score,fwr,volr,win,month
2025-07-04 00:00:00+00:00,0,4,EURUSD,1.2673913043478262,0.6521739130434783,1.2263091638660657,True,2025-07
2025-07-04 05:00:00+00:00,5,4,USDCHF,1.6533333333333333,0.5333333333333333,0.7727543810585972,True,2025-07
2025-07-04 10:00:00+00:00,10,4,EURJPY,1.153846153846154,0.46153846153846156,0.7129325092089656,True,2025-07
2025-07-07 10:00:00+00:00,10,0,EURUSD,3.383333333333333,0.6666666666666666,0.9208611947975603,True,2025-07
2025-07-07 15:00:00+00:00,15,0,EURUSD,2.0060000000000007,0.68,1.048721423327404,False,2025-07
2025-07-08 00:00:00+00:00,0,1,EURUSD,1.2692307692307692,0.6538461538461539,1.3559450801918322,True,2025-07
2025-07-09 10:00:00+00:00,10,2,EURJPY,1.5703703703703704,0.48148148148148145,0.9761146496815287,False,2025-07
2025-07-09 15:00:00+00:00,15,2,EURJPY,1.1571428571428573,0.4642857142857143,0.9033755817195308,False,2025-07
2025-07-10 00:00:00+00:00,0,3,EURJPY,2.32,0.4666666666666667,0.9793710537744569,True,2025-07
2025-07-10 05:00:00+00:00,5,3,USDCHF,1.147142857142857,0.5428571428571428,0.9265759696911373,True,2025-07
2025-07-10 15:00:00+00:00,15,3,EURJPY,1.5741935483870968,0.4838709677419355,1.1447183449375147,False,2025-07
2025-07-11 00:00:00+00:00,0,4,EURUSD,2.4499999999999997,0.6666666666666666,1.1625905921904711,True,2025-07
2025-07-11 05:00:00+00:00,5,4,EURUSD,1.532142857142857,0.6785714285714286,0.9104905168551529,True,2025-07
2025-07-11 20:00:00+00:00,20,4,EURJPY,1.4772727272727273,0.48484848484848486,1.011233881936171,True,2025-07
2025-07-14 05:00:00+00:00,5,0,EURUSD,2.4982758620689656,0.6896551724137931,0.8401034524892406,True,2025-07
2025-07-14 20:00:00+00:00,20,0,EURUSD,1.5599999999999998,0.7,0.952698590619488,True,2025-07
2025-07-15 15:00:00+00:00,15,1,EURUSD,2.5403225806451615,0.7096774193548387,1.2462972149387004,False,2025-07
2025-07-15 20:00:00+00:00,20,1,EURUSD,2.49375,0.6875,1.2912763092622777,True,2025-07
2025-07-16 00:00:00+00:00,0,2,EURUSD,2.5136363636363637,0.696969696969697,1.159187867621005,True,2025-07
2025-07-16 15:00:00+00:00,15,2,EURJPY,1.2000000000000002,0.5,1.2335486361917938,False,2025-07
2025-07-16 20:00:00+00:00,20,2,EURJPY,2.3657142857142857,0.4857142857142857,1.335451505913455,True,2025-07
2025-07-17 00:00:00+00:00,0,3,USDCHF,1.1289473684210525,0.5263157894736842,2.3650201133267013,True,2025-07
2025-07-17 10:00:00+00:00,10,3,EURUSD,2.532352941176471,0.7058823529411765,1.0538638317401712,True,2025-07
2025-07-18 00:00:00+00:00,0,4,USDCHF,1.6615384615384614,0.5384615384615384,1.2275351625636455,False,2025-07
2025-07-18 05:00:00+00:00,5,4,EURJPY,1.5202702702702704,0.5135135135135135,0.7938007092721017,False,2025-07
2025-07-18 10:00:00+00:00,10,4,USDCHF,2.4599999999999995,0.525,0.7670522722989098,False,2025-07
2025-07-18 20:00:00+00:00,20,4,USDCHF,1.1275,0.525,0.9812061574980359,True,2025-07
2025-07-21 00:00:00+00:00,0,0,EURJPY,2.4,0.5,0.880731530451971,True,2025-07
2025-07-21 05:00:00+00:00,5,0,EURJPY,1.2153846153846155,0.5128205128205128,0.8231991412304909,False,2025-07
2025-07-21 10:00:00+00:00,10,0,EURJPY,2.9,0.5,1.2157429925199563,True,2025-07
2025-07-21 15:00:00+00:00,15,0,USDCHF,2.1525,0.525,0.8940194570169375,True,2025-07
2025-07-22 15:00:00+00:00,15,1,USDCHF,2.1525,0.525,1.202942838271222,True,2025-07
2025-07-22 20:00:00+00:00,20,1,USDCHF,2.1525,0.525,1.2232251942352173,True,2025-07
2025-07-23 10:00:00+00:00,10,2,EURUSD,1.4432432432432434,0.7027027027027027,0.9213929038915707,True,2025-07
2025-07-23 20:00:00+00:00,20,2,USDCHF,1.3324999999999998,0.525,1.13916833941064,True,2025-07
2025-07-24 05:00:00+00:00,5,3,EURUSD,1.8157894736842106,0.7105263157894737,0.784088284357757,True,2025-07
2025-07-24 10:00:00+00:00,10,3,EURUSD,1.461538461538462,0.717948717948718,0.775647324490984,True,2025-07
2025-07-24 15:00:00+00:00,15,3,USDCHF,2.05,0.525,1.0546577755612576,True,2025-07
2025-07-25 00:00:00+00:00,0,4,EURJPY,1.4249999999999998,0.45,0.9690605038528989,True,2025-07
2025-07-25 10:00:00+00:00,10,4,EURUSD,2.94,0.725,0.9592883382554203,False,2025-07
2025-07-28 10:00:00+00:00,10,0,EURUSD,2.5725000000000002,0.725,1.3040861306012483,False,2025-07
2025-07-28 15:00:00+00:00,15,0,EURUSD,2.5725000000000002,0.725,1.5388995208816865,False,2025-07
2025-07-28 20:00:00+00:00,20,0,EURUSD,2.52,0.7,1.4029142370263865,True,2025-07
2025-07-29 00:00:00+00:00,0,1,EURUSD,2.5725000000000002,0.725,1.0336288840961736,False,2025-07
2025-07-29 05:00:00+00:00,5,1,EURUSD,2.52,0.7,0.7783138342781329,False,2025-07
2025-07-29 15:00:00+00:00,15,1,EURUSD,1.5599999999999998,0.7,1.6113347662046433,True,2025-07
2025-07-30 00:00:00+00:00,0,2,USDCHF,1.6800000000000002,0.55,1.1405473028699578,True,2025-07
2025-07-30 05:00:00+00:00,5,2,USDCHF,1.6800000000000002,0.55,0.7832024977032184,False,2025-07
2025-07-30 10:00:00+00:00,10,2,EURJPY,1.9949999999999999,0.45,0.8013034611178436,False,2025-07
2025-07-30 15:00:00+00:00,15,2,EURUSD,2.52,0.7,1.3563289789054949,False,2025-07
2025-07-30 20:00:00+00:00,20,2,EURUSD,2.4675000000000002,0.675,1.6293255649717513,True,2025-07
2025-07-31 00:00:00+00:00,0,3,EURUSD,2.4675000000000002,0.675,1.5539528142081274,False,2025-07
2025-07-31 20:00:00+00:00,20,3,EURUSD,1.4949999999999997,0.65,1.1268889853752557,True,2025-07
2025-08-01 00:00:00+00:00,0,4,EURJPY,1.4625,0.475,1.1298161240009184,True,2025-08
2025-08-01 10:00:00+00:00,10,4,EURJPY,1.6,0.5,0.9085007720818893,False,2025-08
2025-08-01 15:00:00+00:00,15,4,EURUSD,1.8399999999999999,0.65,1.6548032436197204,True,2025-08
2025-08-01 20:00:00+00:00,20,4,USDCHF,3.1174999999999997,0.575,1.9937959062848825,True,2025-08
2025-08-04 00:00:00+00:00,0,0,EURJPY,2.0475,0.475,1.3945504394624906,True,2025-08
2025-08-04 10:00:00+00:00,10,0,USDCHF,1.1825,0.575,1.0767304054964708,False,2025-08
2025-08-04 15:00:00+00:00,15,0,EURJPY,2.1,0.5,0.9799411934810464,False,2025-08
2025-08-04 20:00:00+00:00,20,0,EURJPY,2.1,0.5,0.9156132602564785,False,2025-08
2025-08-05 00:00:00+00:00,0,1,EURJPY,2.0475,0.475,0.9539895548109979,True,2025-08
2025-08-05 05:00:00+00:00,5,1,EURJPY,1.2674999999999998,0.475,0.7328913828506691,True,2025-08
2025-08-05 15:00:00+00:00,15,1,USDCHF,1.6800000000000002,0.55,0.8861608060867777,True,2025-08
2025-08-05 20:00:00+00:00,20,1,EURJPY,1.95,0.475,0.7845048856475254,True,2025-08
2025-08-06 00:00:00+00:00,0,2,EURJPY,2.0,0.5,0.7114237414147137,True,2025-08
2025-08-06 05:00:00+00:00,5,2,USDCHF,1.6800000000000002,0.55,0.610135478771316,True,2025-08
2025-08-06 15:00:00+00:00,15,2,USDCHF,1.3974999999999997,0.575,0.9180286644225336,True,2025-08
2025-08-06 20:00:00+00:00,20,2,EURUSD,1.7625000000000002,0.675,1.0571934939346193,False,2025-08
2025-08-07 15:00:00+00:00,15,3,USDCHF,1.2100000000000002,0.6,1.0787754354970913,True,2025-08
2025-08-08 00:00:00+00:00,0,4,EURJPY,1.1275,0.525,1.0844999924160839,False,2025-08
2025-08-08 05:00:00+00:00,5,4,USDCHF,1.2100000000000002,0.6,0.7497094883077204,True,2025-08
2025-08-08 15:00:00+00:00,15,4,EURJPY,1.5,0.5,0.9030725966045203,True,2025-08
2025-08-11 15:00:00+00:00,15,0,EURUSD,2.3625000000000003,0.625,1.0364054979866482,True,2025-08
2025-08-11 20:00:00+00:00,20,0,EURJPY,1.1275,0.525,1.1289685190132692,True,2025-08
2025-08-12 00:00:00+00:00,0,1,EURUSD,1.3800000000000001,0.65,0.9565917672220314,True,2025-08
2025-08-12 15:00:00+00:00,15,1,USDCHF,1.3200000000000003,0.6,1.4628731186498347,False,2025-08
2025-08-12 20:00:00+00:00,20,1,USDCHF,1.72,0.575,1.5423594045108322,False,2025-08
2025-08-13 00:00:00+00:00,0,2,USDCHF,1.72,0.575,1.4193720245069468,True,2025-08
2025-08-13 05:00:00+00:00,5,2,USDCHF,2.3100000000000005,0.6,0.7864718435713622,False,2025-08
2025-08-13 15:00:00+00:00,15,2,EURJPY,1.2600000000000002,0.55,1.0339448851565263,True,2025-08
2025-08-14 00:00:00+00:00,0,3,EURJPY,3.045,0.55,1.0907542503602479,False,2025-08
2025-08-14 05:00:00+00:00,5,3,EURUSD,2.415,0.65,0.5159584930793042,False,2025-08
2025-08-14 15:00:00+00:00,15,3,EURUSD,3.2624999999999997,0.625,1.4086256996034983,False,2025-08
2025-08-14 20:00:00+00:00,20,3,EURJPY,1.23,0.525,1.1331744002322581,True,2025-08
2025-08-15 00:00:00+00:00,0,4,EURUSD,1.35,0.625,1.1425759722878288,True,2025-08
2025-08-15 10:00:00+00:00,10,4,EURUSD,1.6875,0.625,0.6464103429137329,False,2025-08
2025-08-15 20:00:00+00:00,20,4,EURUSD,1.6500000000000001,0.6,0.9063463378335282,True,2025-08
2025-08-18 00:00:00+00:00,0,0,EURJPY,1.5,0.5,0.879510127178521,True,2025-08
2025-08-18 05:00:00+00:00,5,0,EURJPY,1.5374999999999999,0.525,0.7454533602763835,True,2025-08
2025-08-18 10:00:00+00:00,10,0,EURUSD,1.35,0.625,0.8871890567712872,False,2025-08
