t,month,win,conf
2025-06-02 00:00:00+00:00,2025-06,False,0.1312041686260661
2025-06-02 05:00:00+00:00,2025-06,True,0.2527517901327832
2025-06-02 10:00:00+00:00,2025-06,True,0.1923136365731013
2025-06-02 15:00:00+00:00,2025-06,True,0.10423068108392614
2025-06-02 20:00:00+00:00,2025-06,False,0.03795260212573659
2025-06-03 00:00:00+00:00,2025-06,False,0.09973959134509269
2025-06-03 05:00:00+00:00,2025-06,True,0.07068499349833174
2025-06-03 10:00:00+00:00,2025-06,False,0.15607555083049773
2025-06-03 15:00:00+00:00,2025-06,True,0.12732910424081245
2025-06-03 20:00:00+00:00,2025-06,False,0.13041759675362974
2025-06-04 00:00:00+00:00,2025-06,True,0.13365217048376055
2025-06-04 05:00:00+00:00,2025-06,True,0.2062572487078051
2025-06-04 10:00:00+00:00,2025-06,False,0.23973245501352292
2025-06-04 15:00:00+00:00,2025-06,True,0.1654340168450763
2025-06-04 20:00:00+00:00,2025-06,True,0.18731805450733818
2025-06-05 00:00:00+00:00,2025-06,True,0.25971955672600733
2025-06-05 05:00:00+00:00,2025-06,True,0.11147275244943655
2025-06-05 10:00:00+00:00,2025-06,False,0.15601125442277664
2025-06-05 15:00:00+00:00,2025-06,True,0.07595979118738722
2025-06-05 20:00:00+00:00,2025-06,True,0.23971525151461848
2025-06-06 00:00:00+00:00,2025-06,True,0.10075271757152937
2025-06-06 05:00:00+00:00,2025-06,True,0.11762973111437253
2025-06-06 10:00:00+00:00,2025-06,False,0.1500655346295452
2025-06-06 15:00:00+00:00,2025-06,False,0.1600183048548307
2025-06-06 20:00:00+00:00,2025-06,True,0.0828579400028911
2025-06-09 00:00:00+00:00,2025-06,True,0.11648367531867643
2025-06-09 05:00:00+00:00,2025-06,False,0.1750782920401721
2025-06-09 10:00:00+00:00,2025-06,True,0.15257243658413666
2025-06-09 15:00:00+00:00,2025-06,True,0.09166059089734951
2025-06-09 20:00:00+00:00,2025-06,False,0.13442688511717443
2025-06-10 00:00:00+00:00,2025-06,False,0.14024822693164973
2025-06-10 05:00:00+00:00,2025-06,False,0.08872419457537906
2025-06-10 10:00:00+00:00,2025-06,True,0.13262933551569545
2025-06-10 15:00:00+00:00,2025-06,True,0.1350474168809771
2025-06-10 20:00:00+00:00,2025-06,True,0.1377008865284337
2025-06-11 00:00:00+00:00,2025-06,True,0.11189162402009312
2025-06-11 05:00:00+00:00,2025-06,False,0.04610376615318518
2025-06-11 10:00:00+00:00,2025-06,True,0.10972410060862542
2025-06-11 15:00:00+00:00,2025-06,True,0.0889849927490487
2025-06-11 20:00:00+00:00,2025-06,False,0.07872260309512796
